name,url,description,combined_text,text_for_embedding
Director - Short Form,https://www.shl.com/products/product-catalog/view/director-short-form/,,Director - Short Form ,Director - Short Form 
Adobe Experience Manager (New),https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/,,Adobe Experience Manager (New) ,Adobe Experience Manager (New) 
Adobe Photoshop CC,https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,,Adobe Photoshop CC ,Adobe Photoshop CC 
Aeronautical Engineering (New),https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new/,,Aeronautical Engineering (New) ,Aeronautical Engineering (New) 
Aerospace Engineering (New),https://www.shl.com/products/product-catalog/view/aerospace-engineering-new/,,Aerospace Engineering (New) ,Aerospace Engineering (New) 
Agile Software Development,https://www.shl.com/products/product-catalog/view/agile-software-development/,,Agile Software Development ,Agile Software Development 
Agile Testing (New),https://www.shl.com/products/product-catalog/view/agile-testing-new/,,Agile Testing (New) ,Agile Testing (New) 
AI Skills,https://www.shl.com/products/product-catalog/view/ai-skills/,,AI Skills ,AI Skills 
Amazon Web Services (AWS) Development (New),https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new/,,Amazon Web Services (AWS) Development (New) ,Amazon Web Services (AWS) Development (New) 
Android Development (New),https://www.shl.com/products/product-catalog/view/android-development-new/,,Android Development (New) ,Android Development (New) 
Angular 6 (New),https://www.shl.com/products/product-catalog/view/angular-6-new/,,Angular 6 (New) ,Angular 6 (New) 
AngularJS (New),https://www.shl.com/products/product-catalog/view/angularjs-new/,,AngularJS (New) ,AngularJS (New) 
Apache Hadoop (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-new/,,Apache Hadoop (New) ,Apache Hadoop (New) 
District/Regional Manager Solution,https://www.shl.com/products/product-catalog/view/districtregional-manager-solution/,,District/Regional Manager Solution ,District/Regional Manager Solution 
Entry Level Cashier 7.1 (Americas),https://www.shl.com/products/product-catalog/view/entry-level-cashier-7-1-%28americas%29/,,Entry Level Cashier 7.1 (Americas) ,Entry Level Cashier 7.1 (Americas) 
Entry Level Cashier 7.1 (International),https://www.shl.com/products/product-catalog/view/entry-level-cashier-7-1-%28international%29/,,Entry Level Cashier 7.1 (International) ,Entry Level Cashier 7.1 (International) 
